Seven feat Latto Explicit Ver,Latto and Jung Kook,2023,80
LALA,Myke Towers,2023,71
vampire,Olivia Rodrigo,2023,51
Cruel Summer,Taylor Swift,2019,55
WHERE SHE GOES,Bad Bunny,2023,65
Sprinter,Dave and Central Cee,2023,92
Ella Baila Sola,Eslabon Armado and Peso Pluma,2023,67
Columbia,Quevedo,2023,67
fukumean,Gunna,2023,85
La Bebe  Remix,Peso Pluma and Yng Lvcas,2023,81
un xto,Bad Bunny and Grupo Frontera,2023,57
Super Shy,NewJeans,2023,78
Daylight,David Kushner,2023,51
Kill Bill,SZA,2022,64
Cupid  Twin Ver,Fifty Fifty,2023,78
"Classy ",Feid and Young Miko,2023,86
Like Crazy,Jimin,2023,63
LADY GAGA,Gabito Ballesteros and Junior H and Peso Pluma,2023,65
"I Can See You Taylors Version From The ",Taylor Swift,2023,69
"Peso Pluma Bzrp Music Sessions Vol ",Bizarrap and Peso Pluma,2023,85
Popular with Playboi Carti  Madonna  The Idol Vol,The Weeknd and Madonna and Playboi Carti,2023,85
SABOR FRESA,Fuerza Regida,2023,79
Calm Down with Selena Gomez,Rï¿½ï¿½ma and Selena G,2022,80
MOJABI GHOST,Tainy and Bad Bunny,2023,81
Last Night,Morgan Wallen,2023,52
Dance The Night From Barbie The Album,Dua Lipa,2023,67
Rush,Troye Sivan,2023,74
TULUM,Peso Pluma and Grupo Frontera,2023,56
Creepin,The Weeknd and 21 Savage and Metro Boomin,2022,71
AntiHero,Taylor Swift,2022,64
TQG,Karol G and Shakira,2023,72
Frgil feat Grupo Front,Yahritza Y Su Esencia and Grupo Frontera,2023,61
Blank Space,Taylor Swift,2014,75
Style,Taylor Swift,2014,60
TQM,Fuerza Regida,2023,79
El Azul,Junior H and Peso Pluma,2023,56
Sunflower  SpiderMan Into the SpiderVerse,Post Malone and Swae Lee,2018,76
Im Good Blue,Bebe Rexha and David Guetta,2022,56
See You Again,Tyler and The Creator and Kali Uchis,2017,56
Angels Like You,Miley Cyrus,2020,67
Die For You,The Weeknd,2016,59
Starboy,The Weeknd and Daft Punk,2016,68
Die For You  Remix,Ariana Grande and The Weeknd,2023,53
El Cielo,Feid and Myke Towers and Sky Rompiendo,2023,72
Baby Dont Hurt Me,David Guetta and Anne-Marie and Coi Leray,2023,60
AMARGURA,Karol G,2023,92
It Goes Like Nanana  Edit,Peggy Gou,2023,67
Moonlight,Kali Uchis,2023,64
La Bachata,Manuel Turizo,2022,84
T,dennis and MC Kevin o Chris,2023,86
"Boys a liar Pt ",PinkPantheress and Ice Spice,2023,70
Left and Right Feat Jung Kook of BTS,Charlie Puth and BTS and Jung Kook,2022,88
BESO,Rauw Alejandro and ROSALï¿½,2023,77
Hey Mor,Ozuna and Feid,2022,90
Yellow,Chris Molitor,1999,43
Karma,Taylor Swift,2022,64
People,Libianca,2022,59
Overdrive,Post Malone,2023,56
Enchanted Taylors Version,Taylor Swift,2023,51
BABY HELLO,Rauw Alejandro and Bizarrap,2023,77
golden hour,JVKE,2022,51
"Quevedo Bzrp Music Sessions Vol ",Bizarrap and Quevedo,2022,62
Viva La Vida,Coldplay,2008,49
Here With Me,d4vd,2022,58
Unholy feat Kim Petras,Sam Smith and Kim Petras,2022,71
"Yandel ",Yandel and Feid,2022,78
CORAZN VA,Maria Becerra,2023,68
