Seven feat Latto Explicit Ver,Latto and Jung Kook
Super Shy,NewJeans
SABOR FRESA,Fuerza Regida
TQM,Fuerza Regida
T,dennis and MC Kevin o Chris
BABY HELLO,Rauw Alejandro and Bizarrap
VAGABUNDO,Sebastian Yatra and Manuel Turizo and Beï¿½ï
Queencard,(G)I-DLE
PRC,Natanael Cano and Peso Pluma
Las Morras,BLESSD and Peso Pluma
UNFORGIVEN feat Nile Rodgers,Nile Rodgers and LE SSERAFIM
Super,SEVENTEEN
Igualito a Mi Ap,Fuerza Regida and Peso Pluma
Marisola  Remix,Duki and NICKI NICOLE and Cris Mj and Standly and
LOKERA,Brray and Rauw Alejandro and Lyanno
Gatita,Bellakath
Rumble,Skrillex and Flowdan and Fred again..
Super Freaky Girl,Nicki Minaj
Do It To It,Cherish and ACRAZE
Sky,Playboi Carti
The Feels,TWICE
OUT OUT feat Charli XCX  Saweetie,Charli XCX and Jax Jones and Joel Corry and Sawee
Ley Seca,Anuel Aa and Jhay Cortez
Qu M,J Balvin and Maria Becerra
Friday feat Mufasa  Hypeman  Dopamine ReEdit,"Riton and Nightcrawlers and Mufasa & Hypeman and "
The Next Episode,Dr. Dre and Snoop Dogg
California Love  Original Version Explicit,Dr. Dre and 2Pac and Roger
Malvada,Zï¿½ï¿½ Fe
Gospel with Eminem,Eminem and Dr. Dre
X LTIMA,Daddy Yankee and Bad Bunny
Si Quieren Frontear,De La Ghetto and Duki and Quevedo
Get Lucky  Radio Edit,Pharrell Williams and Nile Rodgers and Daft Punk
ULTRA SOLO,Polima WestCoast and Pailita
That That prod  feat SUGA of BTS,PSY and Suga
Stefania Kalush Orchestra,KALUSH
"The Heart Part ",Kendrick Lamar
La Llevo Al Cielo Ft engo F,Nengo Flow and Anuel Aa and Chris Jedi and Chench
Nos Comemos feat Ozuna,Ozuna and Tiago pzk
Antes de Perderte,Duki
ULTRA SOLO REMIX,De La Ghetto and Feid and Polima WestCoast and Pa
POP,Nayeon
La Loto,Anitta and Tini and Becky G
Dont You Worry,David Guetta and Shakira and Black Eyed Peas
Talk that Talk,TWICE
Sin Se,Ovy On The Drums and Quevedo
Bamba feat Aitch  BIA,Luciano and Aitch and Bï¿½
