Seven feat Latto Explicit Ver,Latto and Jung Kook,410
vampire,Olivia Rodrigo,320
Cruel Summer,Taylor Swift,307
Sprinter,Dave and Central Cee,304
fukumean,Gunna,293
Cupid  Twin Ver,Fifty Fifty,289
Last Last,Burna Boy,287
Ella Baila Sola,Eslabon Armado and Peso Pluma,272
Popular with Playboi Carti  Madonna  The Idol Vol,The Weeknd and Madonna and Playboi Carti,269
Mary On A Cross,Ghost,268
Im Good Blue,Bebe Rexha and David Guetta,264
Super Shy,NewJeans,257
Daylight,David Kushner,254
un xto,Bad Bunny and Grupo Frontera,245
Kill Bill,SZA,239
Creepin,The Weeknd and 21 Savage and Metro Boomin,237
TULUM,Peso Pluma and Grupo Frontera,219
Starboy,The Weeknd and Daft Punk,216
Rush,Troye Sivan,213
Something Just Like This,The Chainsmokers and Coldplay,209
Makeba,Jain,201
New Jeans,NewJeans,201
AntiHero,Taylor Swift,198
Master of Puppets Remastered,Metallica,198
Calm Down with Selena Gomez,Rï¿½ï¿½ma and Selena G,196
Sunflower  SpiderMan Into the SpiderVerse,Post Malone and Swae Lee,195
Summertime Sadness,Lana Del Rey,195
Wake Me Up  Radio Edit,Avicii,194
"Peso Pluma Bzrp Music Sessions Vol ",Bizarrap and Peso Pluma,192
LADY GAGA,Gabito Ballesteros and Junior H and Peso Pluma,189
MANIAC,Stray Kids,188
Dakiti,Bad Bunny and Jhay Cortez,187
TQM,Fuerza Regida,187
Cold Heart  PNAU Remix,Dua Lipa and Elton John and Pnau,187
WHERE SHE GOES,Bad Bunny,183
Snooze,SZA,181
Too Many Nights feat Don Toliver  with Future,Future and Metro Boomin and Don Toliver,177
Baby Dont Hurt Me,David Guetta and Anne-Marie and Coi Leray,177
Blank Space,Taylor Swift,176
SABOR FRESA,Fuerza Regida,175
Titi Me Pregunt,Bad Bunny,175
LALA,Myke Towers,174
Like Crazy,Jimin,172
TQG,Karol G and Shakira,172
BESO,Rauw Alejandro and ROSALï¿½,171
PRC,Natanael Cano and Peso Pluma,169
Radio,Lana Del Rey,168
All My Life feat J Cole,J. Cole and Lil Durk,168
Shallow,Lady Gaga and Bradley Cooper,167
Where Are You Now,Lost Frequencies and Calum Scott,166
Bite Me,ENHYPEN,165
Miracle with Ellie Goulding,Calvin Harris and Ellie Goulding,163
Me Porto Bonito,Chencho Corleone and Bad Bunny,163
Tattoo,Loreen,161
Mockingbird,Eminem,159
Queencard,(G)I-DLE,159
Closer,The Chainsmokers and Halsey,159
"I Can See You Taylors Version From The ",Taylor Swift,157
La Bachata,Manuel Turizo,156
Set Fire to the Rain,Adele,155
La Bebe  Remix,Peso Pluma and Yng Lvcas,154
Before You Go,Lewis Capaldi,154
Attention,NewJeans,153
Style,Taylor Swift,153
Take Two,BTS,153
Bones,Imagine Dragons,152
"Shakira Bzrp Music Sessions Vol ",Shakira and Bizarrap,152
Sweet Child O Mine,Guns N' Roses,152
OMG,NewJeans,151
Ojitos Lindos,Bomba Estï¿½ï¿½reo and Bad B,151
Bebe Dame,Fuerza Regida and Grupo Frontera,151
Say Yes To Heaven,Lana Del Rey,151
Unholy feat Kim Petras,Sam Smith and Kim Petras,150
MOJABI GHOST,Tainy and Bad Bunny,149
Ditto,NewJeans,147
Lost in the Fire,The Weeknd and Gesaffelstein,147
Moscow Mule,Bad Bunny,146
Still With You,Jung Kook,146
Money Trees,Kendrick Lamar and Jay Rock,145
Sure Thing,Miguel,144
Believer,Imagine Dragons,144
Frgil feat Grupo Front,Yahritza Y Su Esencia and Grupo Frontera,142
Butter,BTS,141
"Classy ",Feid and Young Miko,140
Counting Stars,OneRepublic,140
LA CANCI,J Balvin and Bad Bunny,140
Typa Girl,BLACKPINK,139
PROVENZA,Karol G,138
Hype Boy,NewJeans,136
AMG,Natanael Cano and Gabito Ballesteros and Peso Plu,136
Trance with Travis Scott  Young Thug,Travis Scott and Young Thug and Metro Boomin,136
Que Vuelvas,Carin Leon and Grupo Frontera,136
Permission to Dance,BTS,136
STAY with Justin Bieber,Justin Bieber and The Kid Laroi,135
Die For You  Remix,Ariana Grande and The Weeknd,133
Lover,Taylor Swift,133
Columbia,Quevedo,132
El Azul,Junior H and Peso Pluma,132
LOVE DIVE,IVE,132
Run BTS,BTS,132
Callaita,Bad Bunny and Tainy,131
Rolling in the Deep,Adele,131
One Dance,Drake and WizKid and Kyla,131
Chemical,Post Malone,130
NULL,Tiï¿½ï¿½sto and Tate M,130
Take Me To Church,Hozier,130
The Nights,Avicii,130
MAMIII,Karol G and Becky G,130
"Smells Like Teen Spirit  Remastered ",Nirvana,130
Thinking Out Loud,Ed Sheeran,129
FLOWER,JISOO,128
LUNA,Junior H and Peso Pluma,128
Coco Chanel,Bad Bunny and Eladio Carrion,127
No Lie,Sean Paul and Dua Lipa,127
Layla,Schï¿½ï¿½rze and DJ R,127
Until I Found You with Em Beihold  Em Beihold Ver,Em Beihold and Stephen Sanchez,126
Last Night,Morgan Wallen,126
lovely  Bonus Track,Billie Eilish and Khalid,126
"Boys a liar Pt ",PinkPantheress and Ice Spice,125
LAGUNAS,Jasiel Nuï¿½ï¿½ez and Peso P,124
UNFORGIVEN feat Nile Rodgers,Nile Rodgers and LE SSERAFIM,123
DESPECH,ROSALï¿½,123
All For Us  from the HBO Original Series Euphoria,Labrinth and Zendaya,123
Leave The Door Open,Bruno Mars and Anderson .Paak and Silk Sonic,123
L,Stromae,122
Fair Trade with Travis Scott,Drake and Travis Scott,122
Nxde,(G)I-DLE,122
See You Again,Tyler and The Creator and Kali Uchis,122
Moonlight,Kali Uchis,121
After Hours,The Weeknd,121
Dandelions,Ruth B.,121
SClass,Stray Kids,120
Riptide,Vance Joy,120
People,Libianca,120
El Merengue,Marshmello and Manuel Turizo,119
Without Me,Eminem,119
Do I Wanna Know,Arctic Monkeys,118
NULL,YOASOBI,118
All of Me,John Legend,118
Stay Alive Prod SUGA of BTS,Jung Kook,118
The Night We Met,Lord Huron,117
Enchanted,Taylor Swift,117
I AM,IVE,117
Enchanted Taylors Version,Taylor Swift,117
Hey Mor,Ozuna and Feid,117
Still Dont Know My Name,Labrinth,116
Christmas Tree,V,115
Envolver,Anitta,115
HUMBLE,Kendrick Lamar,115
BABY HELLO,Rauw Alejandro and Bizarrap,115
